open_position_time	option_type	pnl_15747	pnl_15776	delta
2024-06-20 12:00:00	long	0.00000000	0.00000000	0.00000000
2024-06-27 00:00:00	long	0.00000000	0.00000000	0.00000000
2024-06-28 12:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-02 00:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-03 08:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-08 04:00:00	long	0.00000000	0.00000000	0.00000000
2024-07-08 08:00:00	long	0.00000000	0.00000000	0.00000000
2024-07-10 12:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-12 20:00:00	long	0.00000000	0.00000000	0.00000000
2024-07-22 04:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-22 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-23 04:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-23 20:00:00	short	0.00000000	0.00000000	0.00000000
2024-07-28 12:00:00	long	0.00000000	0.00000000	0.00000000
