open_position_time	side_15776	side_15777	pnl_15776	pnl_15777	delta
2023-09-18 12:00:00	short	short	1.96629076	2.03249517	0.06620441
2023-09-21 00:00:00	short	short	6.81021102	7.03950873	0.22929771
2023-09-21 16:00:00	short	short	-0.05882234	-0.06080287	-0.00198053
2023-09-25 00:00:00	short	short	4.36130737	4.50815125	0.14684388
2023-09-25 04:00:00	short	short	4.32469859	4.47030986	0.14561127
2023-09-25 08:00:00	short	short	-2.97966844	-3.07999296	-0.10032452
2023-09-25 20:00:00	long	long	4.83189174	4.99458005	0.16268831
2023-09-29 12:00:00	long	long	12.84769232	13.28027017	0.43257785
2023-10-02 16:00:00	short	short	26.29808695	27.18353544	0.88544849
2023-10-05 20:00:00	short	short	-7.42865760	-7.67877822	-0.25012062
2023-10-08 12:00:00	short	short	3.07089577	3.17429189	0.10339612
2023-10-08 16:00:00	short	short	-5.46963872	-5.65379977	-0.18416105
2023-10-08 20:00:00	long	long	-5.37945111	-5.56057557	-0.18112446
2023-10-09 12:00:00	short	short	3.31906020	3.43081193	0.11175173
2023-10-09 16:00:00	short	short	8.29561818	8.57492909	0.27931091
2023-10-11 04:00:00	long	long	-13.74476528	-14.20754730	-0.46278202
2023-10-16 20:00:00	short	short	-2.24891273	-2.32463293	-0.07572020
2023-10-17 16:00:00	short	short	11.13827592	11.51329824	0.37502232
2023-10-19 16:00:00	long	long	2.78522093	2.87899846	0.09377753
2023-10-22 12:00:00	short	short	-7.63779531	-7.89495753	-0.25716222
2023-10-28 16:00:00	short	short	3.08797864	3.19194993	0.10397129
2023-10-29 08:00:00	long	long	3.48398593	3.60129066	0.11730473
2023-10-29 20:00:00	short	short	-3.50761666	-3.62571703	-0.11810037
2023-10-30 00:00:00	short	short	-5.31114928	-5.48997404	-0.17882476
2023-10-30 04:00:00	short	short	3.59170712	3.71263879	0.12093167
2023-10-31 00:00:00	short	short	-6.47158425	-6.68948051	-0.21789626
2023-11-01 08:00:00	short	short	3.62099104	3.74290869	0.12191765
2023-11-02 00:00:00	long	long	10.55043884	10.90566887	0.35523003
2023-11-02 12:00:00	short	short	-7.97774135	-8.24634944	-0.26860809
2023-11-06 00:00:00	short	short	-4.31578050	-4.46109150	-0.14531100
2023-11-07 04:00:00	long	long	-4.30697781	-4.45199243	-0.14501462
2023-11-09 04:00:00	short	short	-3.71463635	-3.83970701	-0.12507066
2023-11-09 08:00:00	long	long	7.62776251	7.88458692	0.25682441
2023-11-09 20:00:00	long	long	4.20605734	4.34767400	0.14161666
2023-11-12 04:00:00	short	short	-6.50277627	-6.72172275	-0.21894648
2023-11-13 20:00:00	long	long	-11.42456964	-11.80923138	-0.38466174
2023-11-20 00:00:00	long	long	2.90961983	3.00758583	0.09796600
2023-11-20 12:00:00	long	long	-6.03676901	-6.24002517	-0.20325616
2023-11-20 20:00:00	long	long	-16.61447688	-17.17388120	-0.55940432
2023-11-21 20:00:00	long	long	27.39294057	28.31525246	0.92231189
2023-11-25 00:00:00	short	short	10.64687100	11.00534787	0.35847687
2023-11-27 08:00:00	short	short	11.55301313	11.94199952	0.38898639
2023-11-28 04:00:00	long	long	6.27895334	6.49036377	0.21141043
2023-12-01 08:00:00	long	long	77.00622444	79.59900032	2.59277588
2023-12-08 12:00:00	short	short	-6.71437770	-6.94044873	-0.22607103
2023-12-09 16:00:00	short	short	8.90577498	9.20562968	0.29985470
2023-12-11 04:00:00	short	short	48.77630721	50.41859047	1.64228326
2023-12-11 20:00:00	short	short	-2.37968016	-2.45980326	-0.08012310
2023-12-12 04:00:00	long	long	-12.78732938	-13.21787482	-0.43054544
2023-12-13 04:00:00	long	long	-8.32469293	-8.60498278	-0.28028985
2023-12-13 12:00:00	long	long	25.76595506	26.63348684	0.86753178
2023-12-15 20:00:00	long	long	13.29226836	13.73981495	0.44754659
2023-12-16 08:00:00	long	long	-11.85716137	-12.25638834	-0.39922697
2023-12-17 20:00:00	long	long	4.76800856	4.92854594	0.16053738
2023-12-18 00:00:00	long	long	-20.79399689	-21.49412437	-0.70012748
2023-12-18 08:00:00	short	short	-0.99351052	-1.02696171	-0.03345119
2023-12-20 00:00:00	long	long	11.24949815	11.62826529	0.37876714
2023-12-21 00:00:00	long	long	13.89027616	14.35795748	0.46768132
2023-12-21 04:00:00	long	long	36.38576862	37.61086625	1.22509763
2023-12-23 00:00:00	short	short	26.69457291	27.59337097	0.89879806
2023-12-27 04:00:00	long	long	-4.23745899	-4.38013293	-0.14267394
2023-12-29 16:00:00	long	long	-13.84493012	-14.31108465	-0.46615453
2024-01-01 08:00:00	short	short	-32.70437781	-33.80552415	-1.10114634
2024-01-07 20:00:00	long	long	6.36861826	6.58304768	0.21442942
2024-01-08 04:00:00	long	long	8.78922175	9.08515214	0.29593039
2024-01-08 20:00:00	long	long	109.91300282	113.61373981	3.70073699
2024-01-12 20:00:00	short	short	51.37257299	53.10227172	1.72969873
2024-01-20 00:00:00	long	long	-14.39502692	-14.87970305	-0.48467613
2024-01-22 04:00:00	short	short	4.51243457	4.66436686	0.15193229
2024-01-25 20:00:00	long	long	17.87327510	18.47506277	0.60178767
2024-01-29 20:00:00	long	long	17.36640961	17.95113128	0.58472167
2024-02-04 16:00:00	long	long	-6.97072113	-7.20542316	-0.23470203
2024-02-05 08:00:00	long	long	16.57545232	17.13354270	0.55809038
2024-02-05 20:00:00	short	short	-13.96801433	-14.43831308	-0.47029875
2024-02-06 20:00:00	long	long	8.01839148	8.28836826	0.26997678
2024-02-07 08:00:00	short	short	-39.73535323	-41.07323034	-1.33787711
2024-02-09 16:00:00	long	long	-6.94190663	-7.17563849	-0.23373186
2024-02-10 00:00:00	short	short	-9.32975347	-9.64388340	-0.31412993
2024-02-12 20:00:00	long	long	87.29855857	90.23787418	2.93931561
2024-02-18 16:00:00	short	short	5.05727415	5.22755102	0.17027687
2024-02-19 08:00:00	long	long	12.93618070	13.37173793	0.43555723
2024-02-20 20:00:00	short	short	-29.52795310	-30.52215019	-0.99419709
2024-02-23 04:00:00	short	short	4.63962351	4.79583821	0.15621470
2024-02-26 20:00:00	long	long	46.75294395	48.32710119	1.57415724
2024-02-28 16:00:00	short	short	-24.61241464	-25.44110707	-0.82869243
2024-03-04 16:00:00	short	short	-14.43998488	-14.92617473	-0.48618985
2024-03-06 12:00:00	long	long	29.55661735	30.55177956	0.99516221
2024-03-08 20:00:00	short	short	-14.06812434	-14.54179376	-0.47366942
2024-03-11 12:00:00	long	long	-36.83789088	-38.07821133	-1.24032045
2024-03-13 12:00:00	short	short	3.37827749	3.49202305	0.11374556
2024-03-13 20:00:00	short	short	19.47456960	20.13027236	0.65570276
2024-03-15 04:00:00	long	long	-12.18613172	-12.59643503	-0.41030331
2024-03-15 08:00:00	short	short	39.58171187	40.91441593	1.33270406
2024-03-17 08:00:00	long	long	-8.99949986	-9.30251025	-0.30301039
2024-03-17 16:00:00	long	long	-9.04105941	-9.34546909	-0.30440968
2024-03-18 20:00:00	long	long	-31.29110671	-32.34466864	-1.05356193
2024-03-20 12:00:00	long	long	83.95886993	86.78573925	2.82686932
2024-03-28 00:00:00	short	short	-26.14076749	-22.62079282	3.51997467
2024-03-28 12:00:00	long		-23.51150496	0.00000000	23.51150496
2024-03-30 16:00:00	long	long	-9.84320263	-10.45099734	-0.60779471
2024-03-31 08:00:00	long	long	5.90611281	6.27080145	0.36468864
2024-03-31 12:00:00	long	long	-41.44614053	-44.00534266	-2.55920213
2024-04-05 08:00:00	long	long	94.00071924	99.80504356	5.80432432
2024-04-10 00:00:00	long	long	0.64117322	0.68076416	0.03959094
2024-04-11 16:00:00	short	short	-4.32954586	120.31260841	124.64215427
2024-04-12 08:00:00	long		-10.47365654	0.00000000	10.47365654
2024-04-16 12:00:00	long	long	-33.79968254	-40.23769124	-6.43800870
2024-04-16 20:00:00	short	short	-41.63307021	-49.56314672	-7.93007651
2024-04-23 04:00:00	short	short	6.35223959	7.56218508	1.20994549
2024-04-24 16:00:00	long	long	-32.48843243	-38.67668021	-6.18824778
2024-04-24 20:00:00	short	short	15.57181149	18.53785881	2.96604732
2024-04-27 08:00:00	long	long	12.11871734	14.42703511	2.30831777
2024-04-30 16:00:00	short	short	-22.96978889	-27.34496906	-4.37518017
2024-05-03 20:00:00	long	long	15.24494391	18.14873099	2.90378708
2024-05-04 20:00:00	short	short	-3.96356665	-4.71852867	-0.75496202
2024-05-05 16:00:00	short	short	4.19634128	4.99564114	0.79929986
2024-05-06 04:00:00	long	long	3.98792340	4.74752479	0.75960139
2024-05-06 08:00:00	short	short	-14.82965713	-17.65434228	-2.82468515
2024-05-06 12:00:00	long	long	-14.40981384	-17.15452917	-2.74471533
2024-05-06 20:00:00	long	long	-29.16816842	-34.72398753	-5.55581911
2024-05-09 20:00:00	long	long	10.38159150	12.35902949	1.97743799
2024-05-13 08:00:00	long	long	13.79056124	16.41732417	2.62676293
2024-05-13 12:00:00	long	long	-21.11905005	-25.14170996	-4.02265991
2024-05-23 20:00:00	short	short	1.73238558	2.06236244	0.32997686
2024-05-27 00:00:00	long	long	-5.69778391	-6.78307169	-1.08528778
2024-05-27 04:00:00	short	short	-13.30329110	-15.83724105	-2.53394995
2024-05-27 08:00:00	long	long	-22.11111132	-26.32273452	-4.21162320
2024-05-31 20:00:00	short	short	40.22610523	47.88818949	7.66208426
2024-06-09 20:00:00	short	short	-6.33580470	-7.54261975	-1.20681505
2024-06-10 16:00:00	long	long	4.19683792	4.99623238	0.79939446
2024-06-10 20:00:00	long	long	-50.76237309	-60.43135739	-9.66898430
2024-06-15 04:00:00	long	long	3.33444483	3.96957461	0.63512978
2024-06-20 12:00:00	long	long	-13.62546390	-16.22077984	-2.59531594
2024-06-27 00:00:00	long	long	-12.27572795	-14.61395238	-2.33822443
2024-06-28 12:00:00	short	short	-7.45240829	-8.87190888	-1.41950059
2024-07-02 00:00:00	short	short	21.01834334	25.02182110	4.00347776
2024-07-03 08:00:00	short	short	69.24523140	82.43474588	13.18951448
2024-07-08 04:00:00	long	long	16.47630014	19.61463032	3.13833018
2024-07-08 08:00:00	long	long	71.14834694	84.70035815	13.55201121
